time,open,high,low,close,volume
2026-04-01T00:00:00Z,99,110,90,100,1
2026-04-02T00:00:00Z,100,111,91,101,1
2026-04-03T00:00:00Z,101,112,92,102,1
2026-04-04T00:00:00Z,102,113,93,103,1
2026-04-05T00:00:00Z,103,114,94,104,1
2026-04-06T00:00:00Z,99,110,90,100,1
2026-04-07T00:00:00Z,100,111,91,101,1
2026-04-08T00:00:00Z,101,112,92,102,1
2026-04-09T00:00:00Z,102,113,93,103,1
2026-04-10T00:00:00Z,103,114,94,104,1
2026-04-11T00:00:00Z,99,110,90,100,1
2026-04-12T00:00:00Z,100,111,91,101,1
2026-04-13T00:00:00Z,101,112,92,102,1
2026-04-14T00:00:00Z,102,113,93,103,1
2026-04-15T00:00:00Z,103,114,94,104,1
2026-04-16T00:00:00Z,99,110,90,100,1
2026-04-17T00:00:00Z,100,111,91,101,1
2026-04-18T00:00:00Z,101,112,92,102,1
2026-04-19T00:00:00Z,102,113,93,103,1
2026-04-20T00:00:00Z,103,114,94,104,1
2026-04-21T00:00:00Z,99,110,90,100,1
2026-04-22T00:00:00Z,100,111,91,101,1
2026-04-23T00:00:00Z,101,112,92,102,1
2026-04-24T00:00:00Z,102,113,93,103,1
2026-04-25T00:00:00Z,103,114,94,104,1
2026-04-26T00:00:00Z,99,110,90,100,1
2026-04-27T00:00:00Z,100,111,91,101,1
2026-04-28T00:00:00Z,101,112,92,102,1
2026-04-29T00:00:00Z,102,113,93,103,1
2026-04-30T00:00:00Z,100,113,67,101,1
2026-05-01T00:00:00Z,101,110,95,106,1
