time,open,high,low,close,volume
2026-05-16T10:45:00Z,30.88,30.95,30.80,30.91,980
2026-05-16T11:00:00Z,30.91,31.03,30.88,31.00,1040
2026-05-16T11:15:00Z,31.00,31.08,30.98,31.04,1065
2026-05-16T11:30:00Z,31.04,31.13,31.00,31.09,1102
2026-05-16T11:45:00Z,31.09,31.11,30.99,31.01,1188
2026-05-16T12:00:00Z,31.01,31.04,30.93,30.95,1154
2026-05-16T12:15:00Z,30.95,30.99,30.88,30.90,1190
2026-05-16T12:30:00Z,30.90,30.92,30.79,30.82,1211
2026-05-16T12:45:00Z,30.82,30.86,30.76,30.79,1165
2026-05-16T13:00:00Z,30.79,30.83,30.72,30.76,1204
2026-05-16T13:15:00Z,30.76,30.80,30.73,30.78,1130
2026-05-16T13:30:00Z,30.78,30.82,30.74,30.77,1088
